City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Vila Velha,BR,-20.3297,-40.2925,78.8,78,40,6.91,scattered clouds
219,Petrovskoye,RU,57.0104,39.2693,19.26,98,100,7.0,snow
220,Husavik,IS,66.0449,-17.3389,14.0,79,90,4.61,overcast clouds
221,Benguela,AO,-12.5763,13.4055,76.05,75,100,1.99,overcast clouds
222,Oregon,US,44.0001,-120.5014,44.6,53,75,9.22,broken clouds
223,Pailon,BO,-17.65,-62.75,78.82,74,100,12.44,overcast clouds
224,Coban,GT,15.4833,-90.3667,59.14,100,89,1.14,overcast clouds
225,Naze,JP,28.3667,129.4833,62.6,55,75,9.22,broken clouds
226,Tam Ky,VN,15.5667,108.4833,73.4,83,40,3.24,scattered clouds
227,Puerto Del Rosario,ES,28.5004,-13.8627,64.4,82,90,21.85,overcast clouds
228,Rawson,AR,-43.3002,-65.1023,60.89,59,44,14.58,scattered clouds
229,Perevoz,RU,55.5961,44.5446,21.43,96,100,12.35,snow
230,Onguday,RU,50.75,86.15,6.37,85,0,2.73,clear sky
231,Bogorodskoye,RU,56.55,37.8833,19.51,98,100,6.51,overcast clouds
232,Port Macquarie,AU,-31.4333,152.9167,80.6,74,90,10.47,overcast clouds
233,Beringovskiy,RU,63.05,179.3167,6.67,94,100,29.44,snow
234,Neyshabur,IR,36.2133,58.7958,43.54,76,98,1.52,overcast clouds
235,Mikhaylovka,RU,50.06,43.2379,35.01,93,78,5.01,broken clouds
236,Severo-Kurilsk,RU,50.6789,156.125,25.61,95,100,31.52,light snow
237,Hashtrud,IR,37.4779,47.0508,18.36,94,22,9.8,few clouds
238,Constitucion,CL,-35.3333,-72.4167,59.31,93,28,8.03,scattered clouds
239,Aklavik,CA,68.2191,-135.0107,-29.2,75,100,2.3,overcast clouds
240,Tiznit,MA,29.5833,-9.5,55.98,85,55,1.34,broken clouds
241,Dunedin,NZ,-45.8742,170.5036,60.01,75,100,25.99,overcast clouds
242,Kolpashevo,RU,58.3131,82.9089,-24.99,84,99,6.91,overcast clouds
243,Cidreira,BR,-30.1811,-50.2056,75.79,89,99,9.6,overcast clouds
244,Alta Floresta,BR,-9.8756,-56.0861,72.05,96,80,2.13,very heavy rain
245,Hambantota,LK,6.1241,81.1185,73.4,100,20,5.75,few clouds
246,Georgetown,MY,5.4112,100.3354,82.4,69,20,3.44,few clouds
247,Lorengau,PG,-2.0226,147.2712,82.45,82,100,12.1,overcast clouds
248,Alexandria,EG,31.2156,29.9553,61.97,58,0,17.74,clear sky
249,Kalmunai,LK,7.4167,81.8167,77.31,85,100,5.19,overcast clouds
250,Obo,CF,5.3998,26.4869,69.31,24,9,6.17,clear sky
251,Nanortalik,GL,60.1432,-45.2371,28.74,90,100,10.87,overcast clouds
252,Kahului,US,20.8947,-156.47,78.8,57,40,17.27,scattered clouds
253,Clyde River,CA,70.4692,-68.5914,-2.2,92,90,3.44,light snow
254,Masuguru,TZ,-11.3667,38.4167,71.04,96,99,2.15,overcast clouds
255,Olinda,BR,-8.0089,-34.8553,78.8,69,20,9.22,few clouds
256,West Kilbride,GB,55.6833,-4.85,30.99,93,0,5.75,clear sky
257,Tachov,CZ,49.7953,12.6337,27.0,91,100,4.0,light snow
258,Khash,IR,28.2211,61.2158,46.87,53,2,6.22,clear sky
259,Sisimiut,GL,66.9395,-53.6735,5.65,90,71,7.76,broken clouds
260,Acapulco,MX,16.8634,-99.8901,80.6,83,75,4.61,broken clouds
261,Drayton Valley,CA,53.2168,-114.9854,12.99,75,0,2.53,clear sky
262,Astana,KZ,51.1801,71.446,12.2,73,0,8.95,clear sky
263,Sisophon,KH,13.5859,102.9737,78.39,52,2,7.61,clear sky
264,Harper,LR,4.375,-7.7169,78.51,88,30,8.21,scattered clouds
265,Gebre Guracha,ET,9.8,38.4,49.5,47,1,3.65,clear sky
