City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,Challans,46.8436,-1.8749,50.0,93,75,13.8,FR,2021-01-29 22:37:12
169,Mount Gambier,-37.8333,140.7667,59.0,94,90,11.5,AU,2021-01-29 22:32:26
170,Abdulino,53.7,53.6667,26.58,98,97,13.29,RU,2021-01-29 22:37:12
171,Pimenta Bueno,-11.6725,-61.1936,76.35,92,84,2.3,BR,2021-01-29 22:37:12
172,Faanui,-16.4833,-151.75,80.46,68,71,3.58,PF,2021-01-29 22:37:12
173,Miri,4.4148,114.0089,77.0,100,40,3.44,MY,2021-01-29 22:37:12
174,Georgetown,5.4112,100.3354,75.2,83,20,3.44,MY,2021-01-29 22:37:13
175,Naze,28.3667,129.4833,53.6,58,75,11.5,JP,2021-01-29 22:37:13
176,Sao Joao Da Barra,-21.6403,-41.0511,80.6,69,0,20.71,BR,2021-01-29 22:37:13
177,Cap Malheureux,-19.9842,57.6142,77.0,82,0,5.01,MU,2021-01-29 22:37:13
178,Dzaoudzi,-12.7887,45.2699,78.8,78,100,3.44,YT,2021-01-29 22:37:13
179,Constitucion,-35.3333,-72.4167,62.35,90,100,5.06,CL,2021-01-29 22:37:13
180,Ouegoa,-20.35,164.4333,82.65,65,4,12.95,NC,2021-01-29 22:37:13
181,Geraldton,-28.7667,114.6,80.6,26,0,23.02,AU,2021-01-29 22:37:13
182,Labuhan,-6.8844,112.2051,77.38,88,100,16.82,ID,2021-01-29 22:37:14
183,Shitanjing,39.2342,106.3439,22.23,76,0,11.81,CN,2021-01-29 22:37:14
184,Poronaysk,49.2167,143.1167,9.28,92,100,12.24,RU,2021-01-29 22:37:14
185,Colac,-38.3333,143.5833,61.0,98,87,8.7,AU,2021-01-29 22:37:14
186,Sur,22.5667,59.5289,63.97,53,0,8.25,OM,2021-01-29 22:37:14
187,Guapore,-28.8456,-51.8903,72.0,93,6,2.93,BR,2021-01-29 22:37:15
188,Sokoni,-6.4333,39.55,80.6,83,40,5.75,TZ,2021-01-29 22:37:15
189,Kupang,-10.1667,123.5833,75.2,100,90,6.91,ID,2021-01-29 22:37:15
190,Dourdan,48.5277,2.0111,43.0,96,100,4.0,FR,2021-01-29 22:37:15
191,Maumere,-8.6199,122.2111,80.71,81,100,14.9,ID,2021-01-29 22:37:15
192,Acarau,-2.8856,-40.12,80.15,80,96,13.94,BR,2021-01-29 22:37:16
193,Eydhafushi,5.1033,73.0708,80.37,71,0,12.08,MV,2021-01-29 22:37:16
194,Torbay,47.6666,-52.7314,28.99,93,90,19.57,CA,2021-01-29 22:35:15
195,Atbasar,51.8,68.3333,13.69,92,0,6.53,KZ,2021-01-29 22:37:16
196,Palu,-0.8917,119.8707,73.87,79,93,2.66,ID,2021-01-29 22:37:16
197,Corn Island,12.1694,-83.0418,80.02,76,78,20.36,NI,2021-01-29 22:37:16
198,Strohonivka,44.9431,34.1973,38.61,91,100,13.76,UA,2021-01-29 22:37:16
199,Ulladulla,-35.35,150.4667,69.8,100,99,4.61,AU,2021-01-29 22:37:16
200,Mar Del Plata,-38.0023,-57.5575,75.2,57,0,3.44,AR,2021-01-29 22:34:42
201,Jinchang,38.4953,102.1739,20.64,63,20,3.58,CN,2021-01-29 22:37:17
202,Russell,32.3502,-85.1999,59.0,23,1,1.28,US,2021-01-29 22:37:17
203,Biltine,14.5333,20.9167,69.39,23,42,17.27,TD,2021-01-29 22:37:17
204,Lebu,-37.6167,-73.65,57.97,91,95,4.0,CL,2021-01-29 22:37:17
205,Dicabisagan,17.0818,122.4157,68.94,81,99,13.51,PH,2021-01-29 22:37:17
206,Cockburn Town,21.4612,-71.1419,71.6,56,75,17.27,TC,2021-01-29 22:37:17
207,Cardston,49.2,-113.3019,41.0,86,15,3.44,CA,2021-01-29 22:36:47
208,Port Keats,-14.25,129.55,79.45,89,99,10.87,AU,2021-01-29 22:37:18
209,Husavik,66.0449,-17.3389,28.4,86,90,7.74,IS,2021-01-29 22:37:18
210,Lagoa,39.05,-27.9833,59.22,77,23,12.41,PT,2021-01-29 22:32:21
211,Te Anau,-45.4167,167.7167,55.38,60,31,1.23,NZ,2021-01-29 22:37:18
212,Vanimo,-2.6741,141.3028,80.01,79,100,8.63,PG,2021-01-29 22:37:18
213,Natal,-5.795,-35.2094,80.6,78,20,12.66,BR,2021-01-29 22:37:18
214,Jaciara,-15.9653,-54.9683,75.58,77,78,3.74,BR,2021-01-29 22:37:18
215,Kantunilkin,21.0917,-87.45,75.2,57,40,11.5,MX,2021-01-29 22:37:19
216,Bengkulu,-3.8004,102.2655,74.95,86,100,4.54,ID,2021-01-29 22:37:19
217,Havre-Saint-Pierre,50.2334,-63.5986,15.8,62,1,8.05,CA,2021-01-29 22:37:19
218,Mlowo,-9.0,32.9833,60.12,94,100,6.51,TZ,2021-01-29 22:37:01
219,Benguela,-12.5763,13.4055,75.0,82,68,3.36,AO,2021-01-29 22:37:19
220,Dakar,14.6937,-17.4441,66.2,77,0,11.5,SN,2021-01-29 22:37:06
221,Mozarlandia,-14.7447,-50.5706,75.85,83,83,2.59,BR,2021-01-29 22:37:19
222,Kargasok,59.0556,80.8572,-31.43,83,0,7.65,RU,2021-01-29 22:37:20
223,Kindu,-2.95,25.95,70.68,91,99,1.1,CD,2021-01-29 22:37:20
224,Funadhoo,6.15,73.2667,80.42,67,0,7.4,MV,2021-01-29 22:37:20
225,Imbituba,-28.24,-48.6703,73.4,94,75,4.61,BR,2021-01-29 22:37:20
226,Matay,28.419,30.7792,42.93,65,0,2.73,EG,2021-01-29 22:37:20
227,Longido,-2.7333,36.6833,65.39,85,100,10.67,TZ,2021-01-29 22:37:20
228,Sivas,39.7916,37.0019,14.0,92,0,9.22,TR,2021-01-29 22:34:32
229,Buin,-33.7333,-70.75,71.01,56,90,5.75,CL,2021-01-29 22:37:21
230,Vila Franca Do Campo,37.7167,-25.4333,59.0,88,20,10.36,PT,2021-01-29 22:37:21
231,Chilliwack,49.1747,-121.9443,43.0,61,86,3.44,CA,2021-01-29 22:37:21
232,Tarakan,3.3,117.6333,77.0,94,40,3.44,ID,2021-01-29 22:37:21
233,Bahraich,27.5833,81.6,43.5,66,0,5.41,IN,2021-01-29 22:32:57
234,Tautira,-17.7333,-149.15,87.8,62,20,11.5,PF,2021-01-29 22:34:34
235,Pevek,69.7008,170.3133,-29.54,85,4,2.84,RU,2021-01-29 22:37:21
236,Zhigansk,66.7697,123.3711,-44.9,77,86,8.52,RU,2021-01-29 22:37:21
237,Dubuque,42.4833,-90.8668,27.0,68,1,9.22,US,2021-01-29 22:37:21
238,Namibe,-15.1961,12.1522,74.01,74,49,7.78,AO,2021-01-29 22:37:22
239,Kaeo,-35.1,173.7833,64.0,86,37,5.99,NZ,2021-01-29 22:34:30
240,Bastrop,32.7562,-91.8724,57.2,44,90,3.44,US,2021-01-29 22:33:06
241,Sioux Lookout,50.1001,-91.917,14.0,67,75,4.61,CA,2021-01-29 22:37:22
242,Kharp,66.8014,65.8081,-37.75,79,55,1.19,RU,2021-01-29 22:37:22
243,Thompson,55.7435,-97.8558,8.6,78,90,4.61,CA,2021-01-29 22:37:22
244,Ostrovnoy,68.0531,39.5131,7.99,93,100,19.08,RU,2021-01-29 22:37:22
245,Areosa,41.7178,-8.8571,55.99,100,90,19.57,PT,2021-01-29 22:37:22
246,Sharon,41.2331,-80.4934,21.99,58,20,10.36,US,2021-01-29 22:37:23
247,Yeniseysk,58.4497,92.1703,-21.91,86,100,4.07,RU,2021-01-29 22:37:23
248,Kavaratti,10.5669,72.642,80.15,73,13,10.18,IN,2021-01-29 22:37:23
249,Ferme-Neuve,46.7001,-75.4493,6.8,61,100,10.36,CA,2021-01-29 22:37:23
250,Finnsnes,69.2296,17.9811,-4.0,84,8,1.14,NO,2021-01-29 22:37:23
251,Poya,-21.35,165.15,81.88,68,21,4.47,NC,2021-01-29 22:37:23
252,Rio Grande City,26.3798,-98.8203,75.0,65,98,3.0,US,2021-01-29 22:37:23
253,Sadri,25.1833,73.4333,53.62,37,0,4.52,IN,2021-01-29 22:37:23
254,Ust-Omchug,61.15,149.6333,-30.03,79,84,5.59,RU,2021-01-29 22:37:24
255,Kawardha,22.0167,81.25,55.85,37,0,2.93,IN,2021-01-29 22:37:24
256,Korla,41.7597,86.1469,21.54,83,0,3.15,CN,2021-01-29 22:37:24
257,Kruisfontein,-34.0033,24.7314,60.01,84,9,2.98,ZA,2021-01-29 22:37:24
258,Ambilobe,-13.2,49.05,73.53,93,97,2.15,MG,2021-01-29 22:37:24
259,Lugazi,0.3772,32.9197,66.15,90,56,0.31,UG,2021-01-29 22:37:24
260,Waipawa,-41.4122,175.5153,61.0,63,90,21.85,NZ,2021-01-29 22:37:24
